iter	Passed	Remaining
0	142	141924
1	143	71608
2	144	48139
3	145	36345
4	147	29257
5	148	24522
6	149	21174
7	150	18656
8	151	16696
9	153	15149
10	154	13886
11	155	12832
12	157	11930
13	158	11137
14	159	10456
15	160	9854
16	161	9324
17	162	8847
18	163	8419
19	163	8031
20	164	7678
21	165	7353
22	166	7057
23	166	6781
24	167	6533
25	168	6302
26	168	6089
27	169	5888
28	170	5704
29	170	5527
30	171	5365
31	172	5211
32	172	5066
33	173	4931
34	174	4801
35	174	4683
36	175	4569
37	176	4461
38	176	4358
39	177	4259
40	178	4167
41	178	4079
42	179	3996
43	180	3914
44	180	3836
45	181	3763
46	182	3693
47	182	3625
48	183	3560
49	184	3498
50	184	3438
51	185	3379
52	186	3323
53	186	3269
54	187	3217
55	187	3167
56	188	3118
57	189	3071
58	189	3026
59	190	2983
60	191	2941
61	191	2900
62	192	2861
63	193	2822
64	193	2785
65	194	2750
66	195	2715
67	195	2677
68	195	2644
69	196	2611
70	197	2580
71	197	2549
72	198	2520
73	199	2491
74	199	2463
75	200	2436
76	201	2410
77	201	2384
78	202	2359
79	202	2333
80	203	2309
81	204	2285
82	204	2262
83	205	2239
84	205	2215
85	206	2194
86	206	2171
87	207	2151
88	208	2131
89	208	2111
90	209	2092
91	210	2074
92	210	2055
93	211	2038
94	212	2020
95	212	2003
96	213	1985
97	213	1968
98	214	1952
99	215	1936
100	215	1920
101	216	1902
102	216	1887
103	217	1872
104	217	1857
105	218	1842
106	219	1828
107	219	1814
108	220	1801
109	220	1787
110	221	1774
111	222	1761
112	222	1748
113	223	1736
114	223	1723
115	224	1710
116	225	1698
117	225	1687
118	226	1674
119	226	1663
120	227	1651
121	227	1640
122	228	1627
123	228	1617
124	229	1606
125	230	1596
126	230	1585
127	231	1574
128	231	1564
129	232	1554
130	232	1544
131	233	1535
132	234	1525
133	234	1516
134	235	1507
135	235	1498
136	236	1490
137	237	1481
138	237	1473
139	238	1465
140	239	1456
141	239	1448
142	240	1440
143	241	1432
144	241	1424
145	242	1416
146	242	1409
147	243	1401
148	244	1394
149	244	1386
150	245	1379
151	245	1372
152	246	1365
153	247	1358
154	247	1351
155	248	1344
156	249	1337
157	249	1330
158	250	1324
159	251	1317
160	251	1311
161	252	1304
162	252	1298
163	253	1292
164	254	1286
165	254	1279
166	255	1273
167	255	1267
168	256	1261
169	257	1255
170	257	1249
171	258	1244
172	259	1238
173	259	1232
174	260	1226
175	260	1221
176	261	1215
177	262	1209
178	262	1204
179	263	1199
180	263	1192
181	264	1187
182	264	1182
183	265	1177
184	266	1172
185	266	1167
186	267	1162
187	268	1157
188	268	1152
189	269	1148
190	269	1143
191	270	1138
192	271	1133
193	271	1128
194	272	1124
195	272	1119
196	273	1114
197	274	1110
198	274	1105
199	275	1101
200	275	1096
201	276	1092
202	277	1087
203	277	1083
204	278	1079
205	278	1075
206	279	1071
207	280	1067
208	280	1062
209	281	1058
210	282	1054
211	282	1050
212	283	1046
213	283	1042
214	284	1038
215	285	1034
216	285	1030
217	286	1026
218	286	1023
219	287	1019
220	288	1015
221	288	1011
222	289	1007
223	289	1003
224	290	1000
225	290	996
226	291	992
227	292	988
228	292	985
229	293	982
230	294	978
231	294	975
232	295	972
233	295	968
234	296	965
235	297	961
236	297	958
237	298	955
238	298	951
239	299	948
240	300	945
241	300	942
242	301	939
243	302	936
244	302	933
245	303	929
246	304	926
247	304	923
248	305	920
249	305	917
250	306	914
251	307	911
252	307	908
253	308	905
254	308	902
255	309	899
256	310	896
257	310	893
258	311	890
259	311	887
260	312	885
261	313	882
262	313	879
263	314	876
264	315	873
265	315	870
266	316	868
267	316	865
268	317	862
269	317	859
270	318	856
271	319	854
272	319	851
273	320	848
274	321	846
275	321	843
276	322	841
277	322	838
278	323	836
279	324	833
280	324	831
281	325	829
282	326	826
283	326	824
284	327	821
285	328	819
286	328	816
287	329	814
288	330	812
289	330	809
290	331	807
291	331	804
292	332	802
293	333	800
294	333	797
295	334	795
296	335	793
297	335	790
298	336	788
299	336	786
300	337	783
301	338	781
302	338	779
303	339	776
304	339	774
305	340	772
306	341	770
307	341	767
308	342	765
309	342	763
310	343	761
311	344	759
312	344	756
313	345	754
314	346	752
315	346	750
316	347	748
317	347	746
318	348	744
319	349	742
320	349	740
321	350	738
322	351	735
323	351	734
324	352	732
325	353	730
326	353	728
327	354	726
328	355	724
329	355	722
330	356	720
331	356	718
332	357	716
333	358	714
334	358	712
335	359	710
336	360	708
337	360	706
338	361	705
339	362	703
340	362	701
341	363	699
342	364	697
343	364	695
344	365	693
345	365	691
346	366	689
347	367	687
348	367	685
349	368	683
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	371	672
356	372	670
357	373	669
358	373	667
359	374	665
360	374	663
361	375	661
362	376	660
363	376	658
364	377	656
365	378	655
366	378	653
367	379	651
368	380	649
369	380	648
370	381	646
371	381	644
372	382	642
