iter	Passed	Remaining
0	173	173147
1	175	87421
2	176	58799
3	178	44393
4	179	35727
5	180	29927
6	181	25760
7	182	22641
8	183	20223
9	184	18263
10	185	16677
11	187	15399
12	188	14310
13	189	13355
14	190	12517
15	191	11779
16	192	11124
17	193	10538
18	194	10020
19	194	9551
20	195	9130
21	196	8751
22	197	8401
23	198	8076
24	200	7837
25	201	7566
26	202	7309
27	203	7071
28	204	6848
29	205	6642
30	206	6450
31	207	6264
32	207	6094
33	208	5933
34	209	5783
35	210	5642
36	211	5506
37	212	5379
38	214	5277
39	215	5165
40	216	5058
41	217	4957
42	218	4857
43	219	4762
44	220	4670
45	221	4583
46	221	4500
47	222	4420
48	223	4345
49	224	4270
50	225	4201
51	226	4132
52	228	4074
53	229	4016
54	230	3960
55	231	3900
56	232	3843
57	233	3787
58	234	3737
59	235	3685
60	236	3634
61	237	3585
62	238	3540
63	238	3494
64	239	3448
65	240	3404
66	241	3361
67	242	3330
68	244	3292
69	245	3258
70	246	3220
71	247	3184
72	247	3148
73	248	3114
74	249	3079
75	250	3045
76	251	3012
77	252	2982
78	253	2951
79	254	2921
80	254	2891
81	255	2862
82	256	2829
83	256	2801
84	258	2778
85	259	2754
86	260	2729
87	260	2703
88	261	2679
89	262	2654
90	263	2630
91	264	2607
92	265	2584
93	265	2563
94	266	2541
95	267	2520
96	268	2500
97	269	2480
98	270	2459
99	271	2440
100	272	2422
101	273	2405
102	274	2388
103	275	2369
104	275	2352
105	276	2334
106	277	2317
107	278	2300
108	279	2284
109	280	2267
110	281	2251
111	281	2235
112	282	2219
113	283	2203
114	284	2188
115	285	2173
116	285	2157
117	287	2145
118	288	2132
119	288	2119
120	289	2105
121	290	2091
122	291	2077
123	292	2065
124	293	2052
125	294	2040
126	294	2026
127	295	2013
128	296	2001
129	297	1989
130	298	1977
131	298	1966
132	299	1954
133	300	1942
134	302	1939
135	303	1929
136	304	1917
137	305	1906
138	306	1896
139	307	1886
140	307	1876
141	308	1864
142	309	1854
143	310	1844
144	311	1834
145	311	1824
146	312	1814
147	313	1804
148	314	1795
149	315	1786
150	316	1777
151	318	1777
152	319	1769
153	320	1759
154	321	1751
155	322	1742
156	322	1733
157	323	1724
158	324	1716
159	325	1708
160	325	1698
161	326	1690
162	327	1682
163	328	1674
164	329	1666
165	330	1658
166	330	1650
167	332	1648
168	334	1642
169	335	1635
170	335	1628
171	336	1621
172	337	1614
173	338	1607
174	339	1600
175	340	1593
176	341	1586
177	342	1579
178	342	1572
179	343	1565
180	344	1559
181	345	1552
182	346	1545
183	347	1539
184	348	1533
185	349	1527
186	349	1521
187	350	1515
188	351	1509
189	352	1502
190	353	1496
191	354	1490
192	354	1484
193	355	1477
194	356	1472
195	357	1465
196	358	1460
197	359	1454
198	360	1449
199	360	1443
200	362	1440
201	363	1435
202	364	1430
203	365	1425
204	366	1419
205	366	1414
206	367	1409
207	368	1403
208	369	1398
209	370	1393
210	371	1388
211	372	1383
212	373	1378
213	374	1373
214	374	1368
215	376	1366
216	377	1363
217	378	1358
218	379	1353
219	380	1348
220	381	1343
221	381	1338
222	382	1334
223	383	1329
224	384	1324
225	385	1319
226	386	1315
227	387	1310
228	387	1306
229	388	1301
230	389	1296
231	391	1294
232	392	1291
233	393	1287
234	394	1282
235	394	1278
236	395	1274
237	396	1269
238	397	1265
239	398	1261
240	399	1256
241	399	1252
242	400	1248
243	401	1244
244	402	1240
245	403	1236
246	404	1232
247	405	1228
248	406	1227
249	408	1224
250	408	1220
251	409	1216
252	410	1211
253	411	1207
254	411	1203
255	412	1199
256	413	1195
257	414	1191
258	414	1187
259	416	1184
260	417	1180
261	417	1177
262	418	1173
263	419	1169
264	420	1167
265	422	1164
266	422	1161
267	423	1157
268	424	1153
269	425	1150
270	426	1147
271	427	1143
272	428	1139
273	428	1136
274	429	1132
275	430	1129
276	431	1125
277	432	1122
278	432	1118
279	433	1115
280	434	1112
281	436	1111
282	437	1109
283	438	1105
284	439	1102
285	440	1099
286	441	1096
287	442	1093
288	443	1090
289	444	1087
290	444	1084
291	445	1080
292	446	1077
293	447	1074
294	448	1071
295	449	1068
296	449	1064
297	450	1062
298	452	1060
299	452	1056
300	453	1054
301	454	1051
302	455	1048
303	456	1045
304	457	1042
305	458	1039
306	458	1035
307	459	1033
308	460	1030
309	461	1027
310	462	1024
311	463	1021
312	464	1018
313	465	1015
314	466	1014
315	467	1012
316	468	1010
317	469	1007
318	470	1004
319	471	1002
320	472	999
321	473	996
322	474	994
323	475	991
324	476	988
325	477	986
326	477	983
327	478	980
328	479	978
329	480	975
330	481	974
331	482	971
332	483	968
333	484	966
334	485	963
335	486	960
336	486	958
337	487	955
338	488	953
339	489	950
340	490	947
341	491	945
342	492	942
343	493	940
344	494	937
345	494	935
346	496	934
347	497	932
348	498	929
349	499	927
350	500	925
351	501	923
352	502	921
353	503	918
354	504	916
355	505	914
356	506	911
357	507	909
358	508	907
359	509	905
360	512	907
361	514	907
362	516	905
363	517	903
364	518	901
365	519	899
366	520	897
367	521	895
368	522	893
369	523	891
370	524	888
371	525	887
372	527	886
373	528	884
374	529	882
375	530	880
376	531	878
377	532	876
378	533	873
379	534	871
380	534	869
381	535	867
382	537	865
383	538	863
384	539	861
385	540	859
386	541	857
387	542	856
388	544	855
389	545	853
390	547	852
391	547	849
392	548	847
393	549	845
394	550	843
395	551	840
396	551	838
397	552	836
398	553	833
399	554	831
400	555	830
401	557	828
402	558	827
403	560	826
404	561	824
405	561	821
406	562	819
407	563	818
408	564	816
409	565	814
410	566	812
411	567	810
412	568	807
413	569	805
414	570	804
415	572	803
416	573	802
417	575	800
418	576	798
419	577	796
420	578	794
421	579	793
422	580	791
423	581	789
424	582	787
425	582	785
426	583	783
427	584	781
428	586	781
429	588	780
430	590	778
431	591	777
432	591	775
433	592	773
434	593	771
435	594	768
436	595	766
437	596	764
438	597	762
439	597	760
440	598	759
441	600	757
442	601	756
443	602	754
444	603	752
445	604	750
446	605	748
447	605	746
448	606	744
449	607	742
450	608	740
451	608	738
452	609	736
453	610	734
454	611	732
455	612	730
456	613	728
457	615	728
458	616	726
459	617	725
460	618	723
461	619	721
462	620	719
463	621	717
464	622	715
465	623	714
466	623	712
467	624	710
468	625	708
469	626	706
470	626	704
471	627	702
472	629	701
473	630	699
474	631	697
475	632	695
476	633	694
477	633	692
478	634	690
479	635	688
480	636	686
481	636	684
482	637	682
483	638	680
484	639	678
485	640	677
486	640	675
487	641	673
488	642	671
489	643	670
490	644	668
491	645	666
492	646	665
493	647	663
494	648	661
495	649	659
496	649	657
497	650	655
498	651	654
499	652	652
500	653	650
